Freq.	V(out5)
1.24666332745683e+004	-1.88446730603436e+001,1.01966127288083e+000
1.25533455663483e+004	-1.88439050537641e+001,1.02670063503217e+000
1.26406609898144e+004	-1.88431264383775e+001,1.03378785600216e+000
1.27285837400790e+004	-1.88423370692157e+001,1.04092324578361e+000
1.28171180414343e+004	-1.88415367993740e+001,1.04810711605471e+000
1.29062681475544e+004	-1.88407254799857e+001,1.05533978018238e+000
1.29960383417001e+004	-1.88399029601979e+001,1.06262155322327e+000
1.30864329369249e+004	-1.88390690871458e+001,1.06995275192534e+000
1.31774562762815e+004	-1.88382237059271e+001,1.07733369473008e+000
1.32691127330314e+004	-1.88373666595767e+001,1.08476470177534e+000
1.33614067108543e+004	-1.88364977890405e+001,1.09224609489270e+000
1.34543426440598e+004	-1.88356169331486e+001,1.09977819761365e+000
1.35479249978008e+004	-1.88347239285892e+001,1.10736133516618e+000
1.36421582682877e+004	-1.88338186098812e+001,1.11499583447906e+000
1.37370469830044e+004	-1.88329008093476e+001,1.12268202417831e+000
1.38325957009262e+004	-1.88319703570873e+001,1.13042023459117e+000
1.39288090127384e+004	-1.88310270809474e+001,1.13821079774465e+000
1.40256915410570e+004	-1.88300708064955e+001,1.14605404736418e+000
1.41232479406509e+004	-1.88291013569907e+001,1.15395031887583e+000
1.42214828986655e+004	-1.88281185533552e+001,1.16189994940302e+000
1.43204011348480e+004	-1.88271222141452e+001,1.16990327776733e+000
1.44200074017737e+004	-1.88261121555214e+001,1.17796064448663e+000
1.45203064850750e+004	-1.88250881912194e+001,1.18607239177338e+000
1.46213032036708e+004	-1.88240501325197e+001,1.19423886353420e+000
1.47230024099984e+004	-1.88229977882176e+001,1.20246040536658e+000
1.48254089902464e+004	-1.88219309645922e+001,1.21073736455662e+000
1.49285278645893e+004	-1.88208494653758e+001,1.21907009007806e+000
1.50323639874246e+004	-1.88197530917224e+001,1.22745893258725e+000
1.51369223476100e+004	-1.88186416421764e+001,1.23590424442212e+000
1.52422079687034e+004	-1.88175149126405e+001,1.24440637959762e+000
1.53482259092047e+004	-1.88163726963435e+001,1.25296569380203e+000
1.54549812627980e+004	-1.88152147838078e+001,1.26158254439310e+000
1.55624791585970e+004	-1.88140409628165e+001,1.27025729039426e+000
1.56707247613913e+004	-1.88128510183804e+001,1.27899029248788e+000
1.57797232718942e+004	-1.88116447327040e+001,1.28778191301334e+000
1.58894799269930e+004	-1.88104218851522e+001,1.29663251595877e+000
1.60000000000005e+004	-1.88091822522159e+001,1.30554246695669e+000
1.61112888009080e+004	-1.88079256074773e+001,1.31451213327830e+000
1.62233516766409e+004	-1.88066517215754e+001,1.32354188382492e+000
1.63361940113156e+004	-1.88053603621704e+001,1.33263208912385e+000
1.64498212264976e+004	-1.88040512939086e+001,1.34178312131922e+000
1.65642387814625e+004	-1.88027242783863e+001,1.35099535416477e+000
1.66794521734584e+004	-1.88013790741139e+001,1.36026916301524e+000
1.67954669379696e+004	-1.88000154364789e+001,1.36960492481955e+000
1.69122886489826e+004	-1.87986331177097e+001,1.37900301810951e+000
